path,model_name,task,adapter_type,group_local_kind,group_local_delta,r,m,n,bd_row_factor,target_set,target_suffixes_json,scaling_mode,grouping_mode,learning_rate,max_length,warmup_ratio,seed,trainable_params,adapter_trainable_params,injection_adapter_params_total,eval_score,train_time_s
wandb_stage1_new/offline-run-20260314_142537-2fwhlslj/run-2fwhlslj.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,rte,group_local,equal,,16,4,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,5e-05,128,0.0,0,1216512,1212416,1212416,0.4620938628158845,106.20418620109558
wandb_stage1_new/offline-run-20260314_142547-pvfcd3nj/run-pvfcd3nj.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,rte,group_local,equal,,16,4,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,2e-05,128,0.0,0,1216512,1212416,1212416,0.4368231046931408,112.79233288764954
wandb_stage1_new/offline-run-20260314_142627-2b92jmif/run-2b92jmif.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,rte,group_local,equal,,16,4,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,5e-05,256,0.0,0,1216512,1212416,1212416,0.48375451263537905,25.655511379241943
wandb_stage1_new/offline-run-20260314_142628-peps8rg3/run-peps8rg3.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,rte,group_local,equal,,16,4,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,1e-05,128,0.0,0,1216512,1212416,1212416,0.4729241877256318,40.30090403556824
wandb_stage1_new/offline-run-20260314_142636-tsq12lee/run-tsq12lee.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,rte,group_local,equal,,16,4,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,5e-05,128,0.05,0,1216512,1212416,1212416,0.4981949458483754,89.71987533569336
wandb_stage1_new/offline-run-20260314_142637-iyi7kdmq/run-iyi7kdmq.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,rte,group_local,equal,,16,4,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,2e-05,256,0.05,0,1216512,1212416,1212416,0.45126353790613716,25.875450611114502
wandb_stage1_new/offline-run-20260314_142648-7c744gos/run-7c744gos.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,rte,group_local,equal,,16,4,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,2e-05,128,0.05,0,1216512,1212416,1212416,0.4332129963898917,75.91082406044006
wandb_stage1_new/offline-run-20260314_142652-hxe4nwce/run-hxe4nwce.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,rte,group_local,equal,,16,4,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,5e-05,128,0.05,0,1216512,1212416,1212416,0.4981949458483754,36.04464530944824
wandb_stage1_new/offline-run-20260314_142653-xc5zqm6r/run-xc5zqm6r.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,rte,group_local,equal,,16,4,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,2e-05,256,0.05,0,1216512,1212416,1212416,0.45126353790613716,25.78385353088379
wandb_stage1_new/offline-run-20260314_142712-r3pcohtw/run-r3pcohtw.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,rte,group_local,equal,,16,4,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,0.0001,256,0.0,0,1216512,1212416,1212416,0.7292418772563177,25.687353372573853
