path,model_short,model_name,task,seed,adapter_type,method,group_local_kind,group_local_delta,r,m,n,bd_row_factor,target_set,scaling_mode,grouping_mode,perm_seed,learning_rate,max_length,warmup_ratio,trainable_params,adapter_trainable_params,injection_adapter_params_total,eval_validation_score,eval_validation_matched_score,eval_validation_mismatched_score,task_score,train_time_s
wandb_stage2/wandb/offline-run-20260317_000231-1vdi3a6y/run-1vdi3a6y.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,sst2,1,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,5120,0,,0.8818807339449541,,,0.8818807339449541,437.13389110565186
wandb_stage2/wandb/offline-run-20260317_000407-yy0hj4ij/run-yy0hj4ij.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,sst2,2,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,5120,0,,0.8876146788990825,,,0.8876146788990825,317.0360176563263
wandb_stage2/wandb/offline-run-20260317_000525-b3dy9tor/run-b3dy9tor.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,2,full_ft,full_ft,,,16,,,,attn_mlp,rs,contiguous,,2e-05,128,0.05,1235818496,0,,0.9564220183486238,,,0.9564220183486238,1313.644368171692
wandb_stage2/wandb/offline-run-20260317_000904-ml4onqeh/run-ml4onqeh.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,mrpc,2,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,4096,0,,0.7387055071612671,,,0.7387055071612671,23.83138632774353
wandb_stage2/wandb/offline-run-20260317_001024-cssxazej/run-cssxazej.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,cola,2,bd_lora,bd_lora_r16_n4_rowblock_a,,,16,4,4,block_a,attn_mlp,rs,contiguous,,0.0001,128,0.05,5574656,5570560,5570560,0.6565398611996484,,,0.6565398611996484,163.2620506286621
wandb_stage2/wandb/offline-run-20260317_001332-aox4iewf/run-aox4iewf.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,sst2,1,full_ft,full_ft,,,16,,,,attn_mlp,rs,contiguous,,2e-05,128,0.05,4022473216,0,,0.966743119266055,,,0.966743119266055,4115.124258518219
wandb_stage2/wandb/offline-run-20260317_001517-w24y8a7h/run-w24y8a7h.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,qqp,2,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,4096,0,,0.7366741495157006,,,0.7366741495157006,759.664867401123
wandb_stage2/wandb/offline-run-20260317_001518-fwk7rxq7/run-fwk7rxq7.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,mrpc,2,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,5120,0,,0.7760401424251293,,,0.7760401424251293,23.984219074249268
wandb_stage2/wandb/offline-run-20260317_001526-quhlkkn7/run-quhlkkn7.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,mrpc,1,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,5120,0,,0.7662413616374038,,,0.7662413616374038,35.375081062316895
wandb_stage2/wandb/offline-run-20260317_001547-rwefkm5q/run-rwefkm5q.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,sst2,0,full_ft,full_ft,,,16,,,,attn_mlp,rs,contiguous,,2e-05,128,0.05,4022473216,0,,0.9644495412844036,,,0.9644495412844036,4102.43183016777
